ID,Image,brand,model,release date,Refresh Rate,Camera,Battery,Storage options,Colours,Price
p-13-pro,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-13-pro-blue-select?wid=470&hei=556&fmt=jpeg&qlt=95&.v=1645552346275,Apple,iPhone 13 Pro,September 14 2021,120 Hz,12 Megapixel,28 Hours Video Playback,"128 GB, 256 GB, 512 GB, 1 TB","Alpine Green, Silver, Gold, Graphite, Sierra Blue",$1399
p-s22-ultra,https://img.global.news.samsung.com/ca/wp-content/uploads/2022/02/Galaxy_S22_Ultra_PR_main3.jpg,Samsung,S22 Ultra,February 25 2022,120 Hz,108 Megapixel,18 Hours Video Playback,"128 GB, 256 GB, 512 GB, 1 TB","Burgundy, Phantom Black, Phantom White, Green, Graphite Sky Blue, Red",$1650
p-13-pro-max,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-13-pro-max-blue-select?wid=470&hei=556&fmt=jpeg&qlt=95&.v=1645552346295,Apple,iPhone 13 Pro Max,September 14 2021,120 Hz,12 Megapixel,28 Hours Video Playback,"128 GB, 256 GB, 512 GB, 1 TB","Alpine Green, Silver, Gold, Graphite, Sierra Blue",$1549
p-s22,https://images.samsung.com/is/image/samsung/p6pim/ca/2202/gallery/ca-galaxy-s22-s901-sm-s901wzgaxac-530778833?$720_576_PNG$,Samsung,S22,February 25 2022,120 Hz,48 Megapixel,18 Hours Video Playback,"128 GB, 256 GB","Burgundy, Phantom Black, Phantom White, Green, Graphite Sky Blue, Red",$1099
p-iphone-13,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-13-pink-select-2021?wid=470&hei=556&fmt=jpeg&qlt=95&.v=1645572315935,Apple,iPhone 13,September 14 2021,60 Hz,12 Megapixel,19 Hours Video Playback,"128 GB, 256 GB, 512 GB, 1 TB","Alpine Green, Silver, Gold, Graphite, Sierra Blue",$1099
p-13-mini,https://store.storeimages.cdn-apple.com/4982/as-images.apple.com/is/iphone-13-mini-midnight-select-2021?wid=470&hei=556&fmt=jpeg&qlt=95&.v=1645572315770,Apple,iPhone 13 Mini,September 14 2021,60 Hz,12 Megapixel,15 Hours Video Playback,"128 GB, 256 GB, 512 GB, 1 TB","Alpine Green, Silver, Gold, Graphite, Sierra Blue",$949
